worker,cpu_millicores,cpu_percent,memory_bytes,memory_percent
master,3452.415112229329,28.015242339631225,6515,20
master,3408.8508427541738,27.49268874474004,6515,20
master,3254.4969012978468,26.839557642944243,6515,20
master,3425.725910952826,27.345848556304844,6515,20
master,3376.322121281614,26.986176587405904,6515,20
master,3355.921220119761,27.27530769824173,6515,20
master,3404.78826186129,29.44946726395649,6515,20
master,3270.3550181750493,25.821327838840133,6515,20
master,3318.5849342477986,29.387346255668493,6515,20
master,3445.5973763257316,27.139200863420495,6515,20
master,3331.720284774231,28.7736447934444,6515,20
master,3316.407395573486,28.180932733462765,6515,20
master,3364.8183582130137,28.818161963843494,6515,20
master,3410.4563615453226,26.76612529206629,6515,20
master,3340.3301874294684,26.209042352240896,6515,20
master,3409.508304094359,29.06420092014125,6515,20
master,3399.1460488512944,29.31820753365445,6515,20
master,3387.3701128366465,26.94375700385335,6515,20
master,3400.4679220336093,27.804204527034138,6515,20
master,3443.186875743513,27.109572196115074,6515,20
master,3360.874099878412,26.785215070829814,6515,20
master,3387.7306428840934,27.224263620975524,6515,20
master,3417.064160166704,26.29958471647253,6515,20
master,3366.2311276841046,29.42764543265088,6515,20
master,3368.244492559506,27.559834418389432,6515,20
master,3372.367588000691,28.45737121272641,6515,20
master,3403.498057470188,29.07722606978915,6515,20
master,3432.710778509282,26.18233786182039,6515,20
master,3435.530732407038,28.397351478066707,6515,20
master,3312.9428919315997,28.814815396290577,6515,20
master,3309.159964914462,25.03720876366776,6515,20
master,3341.458694200554,28.741726083936765,6515,20
master,3457.0645112983957,28.278993393306507,6515,20
master,3288.834827454652,29.17176481979876,6515,20
master,3337.3322428837796,29.03075191578943,6515,20
master,3375.406923462382,30.067542422439924,6515,20
master,3396.9659242386583,27.57481409836684,6515,20
master,3426.5159575544867,30.06220218518407,6515,20
master,3435.195352934409,26.46117822230578,6515,20
master,3409.8024449983586,27.284020476895368,6515,20
master,3440.560393477803,26.472421505896197,6515,20
master,3340.575955570968,28.58204476049191,6515,20
master,3407.531527113641,28.65906988403338,6515,20
master,3317.1700477223303,28.41370047925816,6515,20
master,3453.7054562394437,27.094735528804122,6515,20
master,3385.6414100622906,27.465317582293917,6515,20
master,3341.4731255923903,28.497290200884066,6515,20
master,3333.948675630606,29.792598867531176,6515,20
master,3422.4921174204073,28.89033566512654,6515,20
master,3417.467857341685,27.188742557035404,6515,20
master,3334.7474038581054,28.44851593764489,6515,20
master,3342.556560131156,26.785845891658305,6515,20
master,3500.891692507276,27.37147416084691,6515,20
master,3288.3282388372854,29.13943840798784,6515,20
master,3364.429239761923,28.86070381632211,6515,20
master,3404.438098353768,28.86820850150324,6515,20
master,3424.0801576575777,28.309109213302737,6515,20
master,3335.152955914202,27.77237289205395,6515,20
master,3369.2149266957854,28.096323320174598,6515,20
master,3376.728078563414,27.56668656729744,6515,20
master,3430.666639947456,27.046671341525528,6515,20
master,3352.9546020933253,28.326392994204294,6515,20
master,3385.4203006192633,26.39494144870801,6515,20
master,3386.973855386072,28.522984525302885,6515,20
master,3408.2186869737234,27.961065182796766,6515,20
master,3288.6726925396015,28.715541216984107,6515,20
master,3354.9004165370625,25.870001680740476,6515,20
master,3332.7239395870365,27.08952068486391,6515,20
master,3384.9296162728715,26.523072936511525,6515,20
master,3421.7879722981215,28.498646261721664,6515,20
master,3323.139675449702,27.059095855531627,6515,20
master,3383.6609887877544,27.375615770109054,6515,20
master,3298.95793171938,26.873688490284977,6515,20
master,3401.7030369502227,26.25453733896204,6515,20
master,3394.5542978032536,27.438738424036522,6515,20
master,3334.5307014399095,27.084261661916226,6515,20
master,3352.8207957848717,27.30674210480545,6515,20
master,3424.49773079009,27.73895349690929,6515,20
master,3303.6753311899984,30.377406885650615,6515,20
master,3408.5784943359804,27.972682865389647,6515,20
master,3416.379716610193,28.31656209187941,6515,20
master,3323.1263973721075,27.5173202711424,6515,20
master,3393.751049160055,28.365128634828533,6515,20
master,3292.013357668672,27.490288525495767,6515,20
master,3434.4000154647815,26.288877291785784,6515,20
master,3304.9579162399714,27.443160183055223,6515,20
master,3306.172721473406,27.13898558072596,6515,20
master,3394.9464331512854,28.384095291561263,6515,20
master,3253.579038616361,29.09305980511291,6515,20
master,3242.2390612352565,28.849475977028824,6515,20
master,3428.6109905386556,29.28290864827166,6515,20
master,3322.708293169379,27.481684849905122,6515,20
master,3408.3194108069074,28.6754265738259,6515,20
master,3340.3240344741344,26.857859202439336,6515,20
master,3362.584206243048,27.696155525134508,6515,20
master,3343.911031966254,28.341320769877463,6515,20
master,3411.6676835052317,27.494066811918053,6515,20
master,3402.0680273404396,28.962264796566703,6515,20
master,3302.8521451830834,26.482022662854938,6515,20
master,3299.7191915355243,28.015372980425763,6515,20
worker01,95.41210438994266,0.42237168811963466,1842,11
worker01,137.02314656076777,1.4702643714837904,1842,11
worker01,155.97596748459435,-1.2271458544967562,1842,11
worker01,182.23383195101027,1.6458487249179918,1842,11
worker01,195.65447820702562,-0.4781433163322426,1842,11
worker01,55.33381123665691,2.4326052871157424,1842,11
worker01,62.40342313242053,-0.5582822250105715,1842,11
worker01,144.89959880858694,1.0319606639407108,1842,11
worker01,64.82664398286711,-2.0975610731561485,1842,11
worker01,254.26603773333056,-1.045283440913738,1842,11
worker01,107.36293132887597,1.2705916491204658,1842,11
worker01,41.681728192935964,0.050085489354581236,1842,11
worker01,149.9989501001585,2.112580705469845,1842,11
worker01,80.16903184010548,3.544069648460908,1842,11
worker01,141.3875659549015,2.2100874005978315,1842,11
worker01,154.32240949459816,1.4165764212565806,1842,11
worker01,126.46773097247598,1.5874355091001313,1842,11
worker01,112.87936057564771,-0.7076475039486037,1842,11
worker01,177.71487254055836,1.483109261700563,1842,11
worker01,43.459161953295336,0.3892650467751274,1842,11
worker01,136.82293128917183,0.2555176479748297,1842,11
worker01,156.13390383450852,2.2188048526308477,1842,11
worker01,190.00495740932905,-0.04481077690563562,1842,11
worker01,31.350993992223792,1.8374559423814678,1842,11
worker01,197.6049396858216,1.3273900674408987,1842,11
worker01,182.62111947479747,0.6334455270301746,1842,11
worker01,74.59560861149001,-1.0295650380229011,1842,11
worker01,136.50950215236594,1.4639688520644611,1842,11
worker01,112.11890557883208,0.7162609635003322,1842,11
worker01,61.03141314754953,1.2231825063857316,1842,11
worker01,96.4038998822177,1.0577097942761897,1842,11
worker01,121.89304796284436,0.5950964731802582,1842,11
worker01,144.27936046103162,1.5042874360308662,1842,11
worker01,281.0545744957525,0.14171372151331385,1842,11
worker01,139.18105750860389,2.4003547286733973,1842,11
worker01,99.19139309716854,1.7231430687441058,1842,11
worker01,141.9346394410973,1.4069782410537284,1842,11
worker01,265.40000208894224,1.4552776232653153,1842,11
worker01,232.95009432755478,0.17677838195308282,1842,11
worker01,125.59096874245577,0.11359892468513888,1842,11
worker01,141.05977015938856,1.198157776271672,1842,11
worker01,223.38075409682318,1.7206566861349109,1842,11
worker01,73.5798038743988,0.18783326306157966,1842,11
worker01,215.24742112622872,0.5723073235721554,1842,11
worker01,174.24737897575991,1.8944327716228107,1842,11
worker01,144.85306335074063,0.32001622357475323,1842,11
worker01,74.98304880506944,1.482982670330244,1842,11
worker01,91.52229629912759,1.2241614317257241,1842,11
worker01,222.6334046140882,-0.24154149911130363,1842,11
worker01,122.32110170096287,0.4533824894622226,1842,11
worker01,184.04721858183638,1.6253085553804159,1842,11
worker01,130.09159391900008,0.06041020484182413,1842,11
worker01,137.34938331801672,-0.5910291413698321,1842,11
worker01,211.00185553137132,1.123552635095369,1842,11
worker01,170.8195648716702,2.1158598586574646,1842,11
worker01,166.17513175791962,1.3383321770925083,1842,11
worker01,169.0889464156361,1.368456143185283,1842,11
worker01,191.12263294990737,2.201462941255426,1842,11
worker01,183.43920845391506,1.981473931899628,1842,11
